" LEA","LEADESC"
"C6LASA000","LA SALLE COMMERCIAL HIGHWAY 85 INFLUENCE"
"C6LASA005","LASALLE COMMERCIAL OFF HIGHWAY 85"
"C6LASA010","LA SALLE RURAL COMMERCIAL"
"C6LUCN005","LUCERNE COMMERCIAL SMALL"
"C6LUCN010","LUCERNE INDUSTRIAL LARGE"
"C6SCHL000","SCHOOL IN ECONOMIC AREA 6"
"C6WELD000","WELD COUNTY INDUSTRIAL PARK PECKHAM"
"C6WELD005","WELD RURAL COMMERCIAL HWY 34 EAST"
"C6WELD025","EATON COMM LARGE"
"C7BGDL005","BRIGGSDALE COMMERCIAL"
"C7BGDL010","BRIGGSDALE COMMERCIAL LARGE"
"C7CARR005","CARR COMMERCIAL"
"C7CHUR000","CHURCH IN ECONOMIC AREA 7"
"C7GALE000","GALETON COMMERCIAL"
"C7GILL000","GILL COMMERCIAL"
"C7GRLY000","UNION COLONY IND"
"C7GRVR005","GROVER COMMERCIAL"
"C7HERF005","HEREFORD COMMERCIAL"
"C7NRMR005","NEW RAYMER COMMERCIAL"
"C7NRMR005PW1","NEW RAYMER COMMERCIAL MPW"
"C7NRMR005PW2","CENTENNIAL SUB-RAYMER"
"C7SCHL000","SCHOOLS IN ECONOMIC AREA 7"
"C7STNH005","STONEHAM COMMERCIAL"
"C7WELD005","E7 COMM E OF GREELEY"
"C8NUNN005","NUNN COMMERCIAL"
"C8NUNN010","NUNN INDUSTRIAL"
"C8NUNN010PW1","NUNN INDUSTRIAL"
"C8NUNN010PW2","NUNN INDUSTRIAL"
"C8NUNN010PW3","NUNN INDUSTRIAL - YOUNELLS"
"C8PRCE005","PIERCE COMMERCIAL"
"C8PRCE010","PIERCE INDUSTRIAL"
"C8PRCE015","PIERCE COMMERCIAL LARGE"
"C9AULT005","AULT COMM"
"C9AULT010","AULT INDUSTRIAL"
"C9AULT015","AULT INDUSTRIAL OUT LYING"
"C9AULT020","AULT INDUSTRIAL LARGE"
"C9AULT025","HIGHLAND IND PARK"
"C9AULT030 ","CONESTOGA 1ST FG 8TH RPLT"
"C9CHUR000","CHURCH IN ECONOMIC AREA 9"
"C9EATN005","EATON APARTMENTS"
"C9EATN010","EATON COMM"
"C9EATN015","EATON IND I-2 LARGE LOTS"
"C9EATN020","EATON IND I-2 SMALL LOTS"
"C9EATN025","REPLAT OF EAT IND PARK BK2"
"C9EATN025PW3","EATON INDUSTRIAL REPLAT F"
"C9EATN030","MAPLEWOOD ESTATES FIRST REPLAT"
"C9EATN030PW1","MAPLEWOOD ESTATES 2ND REPLAT"
"C9EATN030PW2","MAPLEWOOD ESTATES THIRD REPLAT"
"C9EATN030PW3","MAPLEWOOD ESTATES PUD 5TH REPL"
"C9EATN035","LOTS 3,4 & OUT LOT4B, & LOT 5"
"C9EATN040PW1","1ST REPLAT LOT 1, PADS 2,3,4,5"
"C9EATN045","EATON COBBLESTONE"
"C9SCHL000","SCHOOLS IN ECONOMIC AREA 9"
"C9WELD010","RURAL NORTH GREELEY"
"C9WELD905","TWN 7  RANGE 65"
"GRLY12","COMM S 11 ST E 11 AV"
"NATRSRCSUPRT","NATURAL RESOURCE SUPPORT LAND"
"NEWACCTS","NEW ACCOUNTS"
"POSSESSORY","POSSESSORY INTEREST ACCT"
"R0BRTH000","SERENITY RIDGE"
"R0BRTH005","CRESWELL II"
"R0JOHN000","JOHNSTOWN"
"R0JOHN005","JOHNSTOWN MULTI"
"R0JOHN010","JOHNSTOWN COLONY"
"R0JOHN015","CHARLOTTE SQUARE"
"R0JOHN020","JOHNSTOWN HEIGHTS"
"R0JOHN025","KNOLLS"
"R0JOHN030","KNOLLS CONDO/TWN"
"R0JOHN035","REDSTONE HILLS"
"R0JOHN040","SUNRISE RIDGE"
"R0JOHN045","COUNTRY ACRES"
"R0JOHN050","JOHNSTOWN CENTER"
"R0JOHN055","JOHNSTOWN FARMS"
"R0JOHN065","JOHNSTOWN SQUARE MULTI"
"R0JOHN070","COTTONWOOD COURT"
"R0JOHN075","LAWRENCE ADD"
"R0JOHN080","ROLLING HILLS RANCH"
"R0JOHN085","ROLLING HILLS RANCH PATIO HOMES"
"R0JOHN090","ROLLING HILLS RANCH TOWNHOMES"
"R0JOHN095","ROLLING HILLS RANCH DARLINGTON"
"R0JOHN100","ROLLING HILLS RANCH LARGE LOTS"
"R0JOHN105","PODTBURG VILLAGE"
"R0JOHN110","CLEARVIEW"
"R0JOHN115","CORBETT GLEN"
"R0JOHN120","CARLSON FARMS"
"R0JOHN125","ROCKSBURY RIDGE"
"R0JOHN130","STROH FARM"
"R0JOHN140","GRAYS FARM"
"R0JOHN145","MOUNTAIN VIEW WEST"
"R0JOHN145PW1","MOUNTAIN VIEW WEST 3RD RPLT"
"R0JOHN150","NORTH JOHNSTOWN"
"R0JOHN155PW1","JOHNSTOWN VILLAGE"
"R0JOHN155PW2","JOHNSTOWN VILLAGE FG # 2"
"R0JOHN160","JOHNSTOWN FARMS FG #3"
"R0JOHN161","JOHNSTOWN FARMS FG #2"
"R0JOHN165","REVERE AT JOHNSTOWN F#1"
"R0JOHN166","REVERE AT JOHNSTOWN TOWNHOMES"
"R0JOHN170","MOUNTAIN VIEW WEST 1ST REPLAT"
"R0JOHN175","JOHNSTOWN VILLAGE FG # 3"
"R0JOHN180","CORBETT GLEN FG 8"
"R0JOHN190","GRANARY SUB FG 1"
"R0JOHN190PW1","GRANARY FG THREE"
"R0JOHN195","PAUTLER FARMS ESTATES"
"R0JOHN205","EAST LEDGE ROCK CENTER FG NO. 3"
"R0JOHN210","PURVIS FARM"
"R0JOHN215","SETTLERS CROSSING"
"R0JOHN220","BLUE PRAIRIE SKY FG 1"
"R0JOHN900","JOHNSTOWN MH  PARK"
"R0JOHN905","PARADISE VILLAGE MH PARK"
"R0MILL000","MILLIKEN"
"R0MILL000PW1","MILLIKEN"
"R0MILL000PW2","MILLIKEN"
"R0MILL005","MILLIKEN DUPLEX"
"R0MILL010","WAL MAR"
"R0MILL015","FRANK FARM"
"R0MILL020","DOVE VALLEY"
"R0MILL025","CENTENNIAL FARM"
"R0MILL030","COLONY POINTE"
"R0MILL035","SETTLERS VILLAGE"
"R0MILL040PW1","FOSSIL PARK"
"R0MILL045","BROOKSTONE"
"R0MILL045PW1","BROOKSTONE"
"R0MILL050PW1","SUNFIELD"
"R0MILL050PW2","SUNFIELD FG 2"
"R0MILL055","MAD RUSSIAN"
"R0MILL060","MAD RUSSIAN/BLEHM ESTATES"
"R0MILL065","MILL IRON"
"R0MILL070","9102 CR 44 SUB"
"R0MILL075","WILDCAT"
"R0MILL080","PEREGRINE/EHRLICH"
"R0MILL085","MEADOW FARMS"
"R0MILL090","SCHNEIDER SUB"
"R0MILL095","IRON HORSE TOWNHOMES"
"R0MILL900","EVERGREEN MH PARK"
"R0OTHR000","DAIRY ECON 0"
"R0OTHR005","FEED LOT ECON 0"
"R0RLND000","MILLIKEN RURAL"
"R0RLND005","BERTHOUD RURAL"
"R0RLND010","JOHNSTOWN RURAL"
"R0WELD000","LAKOTA LAKES RANCH PUD"
"R0WELD005","HERITAGE CROSSING RANCH PUD"
"R0WELD015","SCHULTZ FIRST"
"R0WELD020","5225 ESTATES PUD"
"R0WELD025","THE MEADOWS ESTATES PUD"
"R0WELD030","GARCIA PUD"
"R0WELD035","LAS HACIENDAS PUD"
"R0WELD040","TWIN VIEW ESTATES PUD"
"R0WELD045","DOVE HAVEN PUD"
"R0WELD050","MARKHAM VIEW ESTATES PUD"
"R0WELD051","SPANISH FOX ESTAES"
"R0WELD055","NORTHMOOR ACRES"
"R0WELD060","LITTLE THOMPSON VALLEY ESTATES"
"R0WELD065","MILL CREEK PUD"
"R0WELD070","SUNCATCHER"
"R0WELD075","THOMPSON VALLEY SUBDIVISION RES21-0010"
"R2EVAN000","ROCKY MOUNTAIN CROSSROADS"
"R2EVAN005","REHMER LAKE"
"R2EVAN010","OWL TREE"
"R2EVAN015","ORCHARD PARK CONDOS"
"R2EVAN020","TUSCANY"
"R2EVAN025","TUSCANY TOWNHOMES"
"R2EVAN025PW1","TUSCANY TOWNHOMES"
"R2EVAN030","GRAPEVINE"
"R2EVAN035","GRAPEVINE DUPLEXES"
"R2EVAN040","VINTAGE VILLAS"
"R2EVAN045","ASHCROFT HEIGHTS"
"R2EVAN050","ASHCROFT PARK"
"R2EVAN055","NEVILLES CROSSING"
"R2EVAN060","MONTEVISTA CONDOS"
"R2EVAN065","JD"
"R2EVAN070","FOX CROSSING CONDOS"
"R2EVAN075","LIBERTY DRAW FG NO 1"
"R2EVAN075PW1","LIBERTY DRAW FG 2"
"R2EVAN080","GRAPEVINE HOLLOW 2ND FG RPLT OUTLOT 11"
"R2GRLY000","BOOMERANG RANCH"
"R2GRLY005","BOOMERANG RUN/CANBERRA"
"R2GRLY010","AUBREY ACRES"
"R2GRLY015","CEDARWOOD SUB"
"R2GRLY020","FOX RUN"
"R2GRLY025","HUNTERS COVE"
"R2GRLY030","KNAUS SUB"
"R2GRLY035","MOUNTAIN SHADOWS"
"R2GRLY040","MOUINTAIN VISTA"
"R2GRLY045","MOUNTAINA VISTA PATIO HOMES"
"R2GRLY050","NOTHRIDGE ESTATES"
"R2GRLY050PW1","NOTHRIDGE ESTATES"
"R2GRLY055","PEBBLE BROOK"
"R2GRLY065","POUDRE RIVER RANCH"
"R2GRLY070","SHEEP DRAW"
"R2GRLY075","TRAILS AT SHEEP DRAW"
"R2GRLY080","SUMMER PARK"
"R2GRLY085","WESTRIDGE VILLAGE"
"R2GRLY090","PUMPKIN RIDGE"
"R2GRLY095","COTTESMORE RESERVE"
"R2GRLY100","KELLY FARM"
"R2GRLY105","WEBER WEST"
"R2GRLY110","PHEASANT RUN"
"R2GRLY115","LARSON"
"R2GRLY120","JOHNSON"
"R2GRLY125","EDWARDS"
"R2GRLY130","WESTMOOR"
"R2GRLY135","WESTMOOR DUPLEX"
"R2GRLY140","WEST POINT"
"R2GRLY140ATT","WEST POINT"
"R2GRLY140PW1","WEST POINT"
"R2GRLY145","WEST POINT RIDGE"
"R2GRLY150","WEST POINT DUPLEX"
"R2GRLY155","STONEYBROOK"
"R2GRLY170","KELLY FARM DUPLEX"
"R2GRLY171","COTTAGES AT KELLY FARM 1ST REPLAT"
"R2GRLY175","DOVE HILL"
"R2GRLY180","NW GREELEY APARTMENTS"
"R2GRLY190","EDWARDS TOWNHOMES"
"R2GRLY195","HUNTERS COVE DUPLEX"
"R2GRLY200","JB ACRES"
"R2GRLY205","KOALA COURT"
"R2GRLY210","POUDRE RIVER RANCH/RIVER RUN PATIO HOMES WEST"
"R2GRLY215","POUDRE RIVER RANCH/RIVER RUN PATIO HOMES"
"R2GRLY220PW1","POUDRE RIVER RANCH/RIVER RUN PATIO HOMES"
"R2GRLY220PW2","POUDRE RIVER RANCH/RIVER RUN PATIO HOMES"
"R2GRLY225","PUMPKIN RIDGE DUPLEX"
"R2GRLY230","PUMPKIN RIDGE CONDO"
"R2GRLY235","TRIPLE CREEK"
"R2GRLY245","GATEWAY ESTATES"
"R2GRLY250","GATEWAY LAKES"
"R2GRLY255","ST MICHAELS"
"R2GRLY260","ST MICHAELS DUPLEXES"
"R2GRLY265","T-BONE RANCH"
"R2GRLY270","HOMESTEAD HEIGHTS"
"R2GRLY275","HIGHLAND PARK WEST"
"R2GRLY280","HIGHLAND HILLS"
"R2GRLY281","GRAPEVINE TOWNHOMES"
"R2GRLY285","HIGHLAND GREEN"
"R2GRLY290","LUNDVALL"
"R2GRLY295","ALLISON FARM"
"R2GRLY300","VIRGINIA HILLS"
"R2GRLY305","WESTRIDGE"
"R2GRLY310","WILLOWOOD"
"R2GRLY315","VILLAGE OF FOXHILL"
"R2GRLY320","STONE CREEK CONDOS"
"R2GRLY330","PROSPECTS AT T-BONE"
"R2GRLY335","PETERSON"
"R2GRLY340","MTN VIEW AT T-BONE"
"R2GRLY345","MEADOWVIEW"
"R2GRLY350","MEADOWVIEW CONDOS"
"R2GRLY355","MEADOWVIEW AT T-BONE"
"R2GRLY360","MEADOWS GREELEY"
"R2GRLY365","MEADOW ACRES"
"R2GRLY370","LONGVIEW CONDOS"
"R2GRLY375","LOMA LINDA ESTATES"
"R2GRLY380","HOMESTEAD CONDOS"
"R2GRLY385","GREYSTONE AT FOXHILL"
"R2GRLY395","FOXHILL BLOCKS 3 & 4"
"R2GRLY400","FOXHILL BLOCKS 1 & 2"
"R2GRLY410","DRAKES CROSSING"
"R2GRLY415","DEVON AT FOXHILL"
"R2GRLY420","COVIINGTON KNOLLS"
"R2GRLY425","CENTERPLACE NORTH"
"R2GRLY430","BLUEJAY WAY"
"R2GRLY435","BIRD"
"R2GRLY440","AUSTIN"
"R2GRLY445","ASHTON ESTATES"
"R2GRLY450","ANNE REA MINOR"
"R2GRLY455","ANDERSON"
"R2GRLY460","OWL RIDGE"
"R2GRLY465","LONGVIEW"
"R2GRLY470","WEST FORK CONDOS"
"R2GRLY475PW1","WESTGATE FG 1"
"R2GRLY500PW1","RANGEVIEW"
"R2GRLY505","RANGEVIEW COMMONS"
"R2GRLY510","HIGHLAND ACRES"
"R2GRLY515","RANGEVIEW NORTH"
"R2GRLY520","RANGEVIEW ESTATES"
"R2GRLY525","PINE RIDGE"
"R2GRLY530","PROMONTORY"
"R2GRLY530PW1","PROMONTORY 2ND FG"
"R2GRLY530PW2","PROMONTORY 3RD FG"
"R2GRLY530PW2A","PROMONTORY 3RD FG WATER/SEWER"
"R2GRLY530PW3","PROMONTORY IMAGINE SCHOOL 3RD FG"
"R2GRLY535","MAYFAIR GREEN"
"R2GRLY540","HILAND KNOLLS TOWNHOUSES"
"R2GRLY545","HILAND KNOLLS"
"R2GRLY550","FAIRWAY FOUR"
"R2GRLY555","COLLEGE GREEN"
"R2GRLY560","COUNTRY CLUB"
"R2GRLY565","COUNTRY CLUB ESTATES"
"R2GRLY570","COLLEGE GREEN TOWNHOUSES"
"R2GRLY575","COUNTRY CLUB CONDOS"
"R2GRLY575TM4","COUNTRY CLUB CONDOS"
"R2GRLY580","COUNTRY CLUB VISTA"
"R2GRLY585","COUNTRY CLUB WEST"
"R2GRLY590","COUNTRY CLUB WEST GOLF"
"R2GRLY595","BITTERSWEET"
"R2GRLY600","BITTERSWEET POINTE TOWNHOUSES"
"R2GRLY605","BITTERSWEET VILLAGE"
"R2GRLY606","BITTERSWEET CONDOS"
"R2GRLY610","CAMBRIDGE GLEN"
"R2GRLY615","CARDINAL ACRES"
"R2GRLY620","COUNTRY MEADOWS"
"R2GRLY625","GREENFIELD STATION"
"R2GRLY630","HILLTOP"
"R2GRLY635","ORCHARDS"
"R2GRLY640","VENTANA VILLAS"
"R2GRLY645","VILLA SERENA"
"R2GRLY655","WEST HAVEN"
"R2GRLY660","CEDARWOOD CONDO"
"R2GRLY665","WESTERN HILLS"
"R2GRLY670","EDWARDS HEIGHTS CONDOS"
"R2GRLY675","COUNTRY CLUB SOUTH"
"R2GRLY680","RENAISSANCE AT FOXHILL"
"R2GRLY690","MONTERREY CONDOS"
"R2GRLY695","PARKVIEW CONDOS"
"R2GRLY700","CROSIERS CORNER CONDOS"
"R2GRLY705","WEST POINT CONDOS"
"R2GRLY720","CITY CENTER RESIDENTIAL"
"R2GRLY720PW1A","CITY CENTER WEST WATER,SEWER,OIL,GAS"
"R2GRLY745","LAKE BLUFF"
"R2GRLY755","PEAKVIEW FG 1"
"R2GRLY760","WESTRIDGE 5TH FG 2ND RPLT"
"R2GRLY765","LAKE BLUFF FG NO 1"
"R2GRLY765PW1","LAKE BLUFF FG1"
"R2GRLY765PW1A","LAKE BLUFF FG 1 WATER SEWER"
"R2GRLY765PW1B","LAKE BLUFF FG 1 WSSCG"
"R2GRLY765PW2","LAKE BLUFF FG NO. 3"
"R2GRLY770","LAKE BLUFF FG NO 2"
"R2GRLY775","CACHE FG 1"
"R2GRLY775PW1","CACHE FG 2"
"R2GRLY785","UNION COLONY WEST"
"R2GRLY785PW1","UNION COLONY WEST 1ST FG"
"R2GRLY785PW1A","UNION COLONY WEST 1ST FG WATER/SEWER"
"R2GRLY900","STONEYBROOK MH PARK"
"R2GRLY905","ROCKY MOUNTAIN VIEW RV PARK"
"R2MILL000","HOMESTEAD AT ASHTON"
"R2OTHR000","DAIRY ECON 2"
"R2OTHR005","FEED LOT ECON 2"
"R2OTHR010","CHIKENS ECON 2"
"R2OTHR020","SHEEP ECON 2"
"R2OTHR040","BEET DUMP ECON 2"
"R2OTHR045","SALVAGE ECON 2"
"R2OTHR055","OTHER AG"
"R2OTHR065","OTHER AG - HORSES ECON 2"
"R2OTHR070","PASTURE MARKET ECON 2"
"R2OTHR080","RIVER BOTTOM/ LAKE ECON 2"
"R2RLND000","WINDSOR RURAL"
"R2RLND005","SW GREELEY RURAL"
"R2RLND010","W GREELEY RURAL"
"R2RLND015","SEVERANCE RURAL"
"R2SVRN005","SOARING EAGLE"
"R2SVRN010","SEVERANCE SHORES"
"R2SVRN015","FOX RIDGE"
"R2SVRN020","HUNTERS CROSSING"
"R2SVRN030PW1","SADDLER WEST"
"R2SVRN035PW1","SADDLER EAST"
"R2SVRN100","SEVERANCE"
"R2SVRN105","SETTLERS LANDING"
"R2SVRN110","HUNTER HILL"
"R2SVRN115","FRANKLINS"
"R2SVRN120","BELMONT"
"R2SVRN125","CASA LOMA"
"R2SVRN130","ROMERO'S"
"R2SVRN135","BALDRIDGE AG"
"R2SVRN140","BALDRIDGE"
"R2SVRN145","PARKVIEW"
"R2SVRN150","FERGUSON"
"R2SVRN155","TIMBERIDGE"
"R2SVRN160","TAILHOLT"
"R2SVRN160PW1","TAILHOLT"
"R2SVRN161","TAILHOLT 4TH FILING"
"R2SVRN161PW1","TAILHOLT FG4 WATER SEWER GRADING"
"R2SVRN170","SUMMIT VIEW"
"R2SVRN175","SUNSET RIDGE"
"R2SVRN180","SUNSET RIDGE TOWNHOMES"
"R2SVRN185","OVERLOOK"
"R2SVRN190","HIDDEN VALLEY FARM"
"R2SVRN190PW3","HIDDEN VALLEY FARM 6TH FG"
"R2SVRN195","PARK RIDGE"
"R2SVRN200","GOLDEN EAGLE"
"R2SVRN205","HUNTER HILL PATIO HOMES"
"R2WELD000","BRACEWELL"
"R2WELD005","BUXMAN ESTATES"
"R2WELD010","CLARK"
"R2WELD015","POUDRE CITY"
"R2WELD020","SIERRA ACRES"
"R2WELD025","STEPHEN FARM"
"R2WELD030","SEELEY LAKE"
"R2WELD035","RIVER VIEW"
"R2WELD045","EAGLE VIEW FARMS"
"R2WELD050","PHEASANT CREST ESTATES"
"R2WELD060","MORIAH ESTATES"
"R2WELD070PW1","HOME RANCH"
"R2WELD075","REMINGTON PLACE"
"R2WELD080","SKYLARK RANCH"
"R2WELD085","VALLEY VIEW ACRES"
"R2WELD090","SHILOH ESTATES"
"R2WELD200","INDIANHEAD"
"R2WELD205","COYOTE RIDGE PUD"
"R2WELD210","CATTAIL CREEK"
"R2WELD215","COALBANK CREST"
"R2WELD220","WB FARMS ESTATES"
"R2WELD225","ANTELOPE HILLS"
"R2WELD227","DALTONS RUN"
"R2WELD230","KENNEDY SUB"
"R2WELD235","WINTER KNOLLS"
"R2WELD240","COYOTE RUN"
"R2WELD245","PINNACLE"
"R2WELD250","GANDER VALLEY"
"R2WELD255","HIMMEL"
"R2WELD275","PRAIRIE RIDGE ESTATES"
"R2WELD280","NORTHWEST ESTATES"
"R2WELD285","ROTH"
"R2WELD290","SAGE HILL"
"R2WELD295","VALLEY VIEW RANCH"
"R2WELD300","SERENITY VIEW"
"R2WELD305","SUNSET RIDGE"
"R2WELD600","HILL N PARK"
"R2WELD605","DOS RIOS"
"R2WELD610","INDIAN HILLS"
"R2WELD615","ARROWHEAD"
"R2WELD680","ORR MINOR"
"R2WELD685","SCHANK-RI-LA"
"R2WELD700","TRAUTMAN"
"R2WELD705","HILLCREST ESTATES"
"R2WELD710","WINDSONG RANCH"
"R2WELD715","WILLOW SPRINGS"
"R2WELD900","PINE LAKE RESORT MH PARK"
"R2WIND000","CORNERSTONE"
"R2WIND005","CHIMNEY PARK TOWNHOMES"
"R2WIND010","ORIGINAL TOWN WINDSOR"
"R2WIND015","WILLOW PARK"
"R2WIND020","CHESTNUT VILLAGE"
"R2WIND025","VISTA GRANDE"
"R2WIND030","OLD TOWN MAIN"
"R2WIND035","WESTVIEW"
"R2WIND045","MOUNTAIN VISTA"
"R2WIND050","WINDSOR LARGER LOTS"
"R2WIND060","GROVE PARK"
"R2WIND065","WESTVIEW TOWNHOMES"
"R2WIND070","GLEN ROCK TOWNHOMES"
"R2WIND075","LAKEVIEW"
"R2WIND080","CALABRIA"
"R2WIND085","PIKE SUBDIVISION"
"R2WIND090","COONS"
"R2WIND095","ASPEN LEAF CONDOS"
"R2WIND100","KRUGER CONDO"
"R2WIND105","WINDSOR MANOR CONDO"
"R2WIND110","MEADOWS IN GRASSLAND CONDOS"
"R2WIND115","EAGLES NEST CONDOS"
"R2WIND120","LIGHTHOUSE POINT CONDOS"
"R2WIND125","BOARDWALK AT PELICAN BAY CONDO"
"R2WIND130","SUNSET BAY LUXURY LODGES CONDO"
"R2WIND135","CONDOS AT WINDSOR LAKE"
"R2WIND140","ALEXANDER ESTATES"
"R2WIND145","THE RIDGE AT HARMONY"
"R2WIND155","NORTH SHORES AT WINDSOR"
"R2WIND160","VENTANA"
"R2WIND165","WINDSOR ESTATES"
"R2WIND170","WINDSHIRE PARK"
"R2WIND170PW1","WINDSHIRE PARK"
"R2WIND180","JACOBY FARM"
"R2WIND185","JACOBY FARM TOWNHOMES"
"R2WIND195","BRUNNER FARM"
"R2WIND200","WINDSOR MANOR"
"R2WIND205","GRASSLANDS PARK"
"R2WIND210PW1","GREENSPIRE"
"R2WIND210PW2","GREENSPIRE COST PW"
"R2WIND213","GREENSPIRE 4TH FG"
"R2WIND213PW1","GREENSPIRE 6TH FG"
"R2WIND215","WINTER FARM 1ST"
"R2WIND217","GREENSPIRE FIFTH FG"
"R2WIND220","WINTER FARM WATER"
"R2WIND225","VILLAGE EAST"
"R2WIND226","VILLAGE EAST 8TH FG"
"R2WIND230","WESTWOOD VILLAGE"
"R2WIND240","WESTWOOD VILLAGE AG"
"R2WIND245","RIVER BEND"
"R2WIND250","RIVER BEND PATIO HOMES"
"R2WIND255","WINDSOR WEST"
"R2WIND260","RIVER TRAILS"
"R2WIND265","MOUNTAIN VIEW"
"R2WIND270","GOVERNORS FARM"
"R2WIND275","POUDRE HEIGHTS"
"R2WIND276","POUDRE HEIGHTS 3RD FG"
"R2WIND276PW1","POUDRE HEIGHTS 3RD"
"R2WIND276PW1A","POUDRE HEIGHTS WSE"
"R2WIND276PW1B","POUDRE HEIGHTS WS"
"R2WIND277","POUDRE HEIGHTS 5TH FG"
"R2WIND277PW1","POUDRE HEIGHTS 5TH FG"
"R2WIND277PW1A","POUDRE HEIGHTS 5TH FG MPW"
"R2WIND280","HILLTOP ESTATES"
"R2WIND290","SOUTH HILL"
"R2WIND295","SOUTH HILL LARGE LOTS"
"R2WIND300","SOUTH HILL VIEW"
"R2WIND305","SOUTH HILL COMMERCIAL"
"R2WIND305PW1","SOUTH HILL REPLAT 15"
"R2WIND310","RAINDANCE"
"R2WIND315","RAINDANCE FLATS CONDOMINIUM"
"R2WIND350","WATER VALLEY NORTH"
"R2WIND355","WATER VALLEY NORTH ON WATER"
"R2WIND360","WATER VALLEY NORTH VIEW"
"R2WIND365","WATER VALLEY NORTH PATIO HOMES"
"R2WIND370","PELICAN BAY TOWNHOMES WV"
"R2WIND375","PELICAN BAY TOWNHOMES ON WATER"
"R2WIND380","PELICAN NEST TOWNHOMES WV"
"R2WIND385","PELICAN NEST TOWNHOMES ON WATER"
"R2WIND390","CRYSTAL BEACH TOWNHOMES WV"
"R2WIND395","CRYSTAL BEACH TOWNHOMES WV ON WATER"
"R2WIND400","WATER VALLEY WATERFRONT PATIO HOMES"
"R2WIND405","WATER VALLEY WATERFRONT PATIO HOMES ON WATER"
"R2WIND410","WATER VALLEY ESTATE"
"R2WIND415PW1","WATER VALLEY SOUTH SEAHORSE"
"R2WIND420","WATER VALLEY SOUTH SM GOLF COURSE"
"R2WIND420PW1","WATER VALLEY SOUTH SM GOLF COURSE"
"R2WIND425PW1","WATER VALLEY SOUTH MARINA"
"R2WIND435PW1","TIDEWATER PATIO HOMES WV"
"R2WIND440PW1","TIDEWATER PATIO HOMES GOLF COURSE"
"R2WIND445","WATER VALLEY SOUTH"
"R2WIND450","WATER VALLEY SOUTH ON WATER"
"R2WIND455","WATER VALLEY SOUTH GOLF COURSE"
"R2WIND460","WATER VALLEY PATIO HOMES"
"R2WIND465","WATER VALLEY PATIO HOMES ON WATER"
"R2WIND470","LIGHTHOUSE POINT TOWNHOMES WV"
"R2WIND475","LIGHTHOUSE POINT TOWNHOMES ON WATER WV"
"R2WIND480","WATER VALLEY SOUTHEAST"
"R2WIND485","WATER VALLEY WEST PATIO HOMES"
"R2WIND490","WATER VALLEY WEST PATIO ON WATER"
"R2WIND500","WINDSOR EXEMPT"
"R2WIND505","WINDSOR INDUSTRIAL"
"R2WIND510","WATER VALLEY GENERAL COMMON ELEMENTS"
"R2WIND515PW1","RAINDANCE 2ND FG"
"R2WIND520PW1","RAINDANCE"
"R2WIND521PW1","RAINDANCE 1ST FG LARGE"
"R2WIND525PW1","RAINDANCE 3RD FG"
"R2WIND530PW1","RAINDANCE 6TH FG"
"R2WIND545PW1","RAINDANCE 8TH FG"
"R2WIND550PW1","RAINDANCE 9TH FG"
"R2WIND555","RAINDANCE 15TH FG"
"R2WIND560","RAINDANCE 16TH FG"
"R2WIND565","RAINDANCE 17TH FG"
"R2WIND570","RAINDANCE 18TH FG"
"R2WIND575","RAINDANCE 19TH FG"
"R2WIND580","RAINDANCE 20TH FG"
"R2WIND585","TACINCALA SUB"
"R2WIND587","TACINCALA 2ND FG"
"R2WIND587PW1","TACINCALA FG 2"
"R2WIND587PW1A","TACINCALA FG 2  WSE"
"R2WIND587PW1B","TACINCALA FG 2 WATER SEWER"
"R2WIND590","TRAUTMAN 5TH FG"
"R2WIND595","TREVENNA"
"R2WIND595PW1","TREVENNA WATER SEWER"
"R2WIND600","RANCHO EAST"
"R3DACO000","DACONO TOWN"
"R3DACO005","AUTUMN VALLEY"
"R3DACO010","CARBON VALLEY"
"R3DACO015","GLEN OF DACONO"
"R3DACO020","SUNDANCE"
"R3DACO025","SUNDANCE TOWNHOME"
"R3DACO030","SWEETGRASS"
"R3DACO031","SWEETGRASS NEW"
"R3DACO032","SWEETGRASS FG 5"
"R3DACO035","SHARPE"
"R3DACO040","MOUNTAIN VIEW"
"R3DACO045","LITTLE DRY CREEK"
"R3DACO050","EAGLE MEADOWS"
"R3DACO050PW2","EAGLE MEADOWS"
"R3DACO055","LEGACY PARK"
"R3DACO060","M&C DEVELOPMENT"
"R3DACO065","M&C DEVELOPMENT #2"
"R3DACO070","CARBON VALLEY APT"
"R3DACO085","DACONO STATION"
"R3DACO090","MESA RIDGE"
"R3DACO095","STRATA DACONO FG 1"
"R3DACO096","STRATA DACONO FG 2"
"R3ERIE000","ERIE TOWN"
"R3ERIE000PW1","ERIE TOWN"
"R3ERIE000PW2","ERIE TOWN"
"R3ERIE000PW3","ERIE TOWN ROCKTON"
"R3ERIE005","CHEESMAN STREET"
"R3ERIE010","COAL CREEK"
"R3ERIE015","ERIE TOWN NORTH"
"R3ERIE020","COLLIERS HILL"
"R3ERIE020PW8","COLLIERS HILL FG 4G"
"R3ERIE021","COLLIERS HILL DUPLEX"
"R3ERIE022","COLLIERS HILL FG 4I"
"R3ERIE023","COLLIERS HILL FG 4H"
"R3ERIE024","COLLIERS HILL FG 6"
"R3ERIE025","ERIE HIGHLANDS"
