" LEA","LEADESC"
"C2GRLY730PW1","HIGHPOINT BUSINESS PARK PW1"
"C2GRLY730PW2","HIGHPOINT BUSINESS PARK PW2"
"C2GRLY735","PROMONTORY BUSINEES PARK"
"C2GRLY735PW1","PROMONTORY IMAGINE SCHOOL 2ND FLG 1ST RPLT"
"C2GRLY735PW2","PROMONTORY IMAGINE SCHOOL 2ND FLG 2ND RPLT"
"C2GRLY740","GREELEY MISC"
"C2GRLY745","WEST HWY 34"
"C2GRLY750","WEST RURAL GREELEY"
"C2GRLY750PW1","354 BUSINESS PARK"
"C2GRLY755","APARTMENT 35 AV TO 59 AV"
"C2GRLY755PW1","APARTMENT 35 AV TO 59 AV PW1"
"C2GRLY760","APARTMENT 59 AV TO 82 AV PW1"
"C2GRLY765","APARTMENTS AT WESTLAKE"
"C2GRLY770","APARTMENT AT SANBORN"
"C2GRLY775","35TH AND 4TH ST"
"C2GRLY780","GREELEY PARKS"
"C2GRLY785","H-P GREELEY"
"C2GRLY785PW1","H-P GREELEY 8TH REPLAT"
"C2GRLY790","APARTMENT GREELEY MALL"
"C2GRLY795","TOINTON ACADEMY"
"C2GRLY800","TRAILS AT SHEEP DRAW SUB 2ND REPLAT"
"C2GRLY805PW1","CITY CENTER WEST APTS"
"C2GRLY810PW1","BOOMERANG RANCH COMMERCIAL"
"C2GRLY815","TWO RIVERS SUBDIVISION"
"C2GRLY820","UNION COLONY WEST SUBDIVISION MF AND COMMERCIAL"
"C2GRLY825","SHORTGRASS SUBDIVISION"
"C2OTHR800","AULT LAND FILLS"
"C2SCHL000","SCHOOLS IN ECONOMIC AREA 2"
"C2SVRN100","SADDLER PUD"
"C2SVRN105","SEVERANCE COMMERCIAL"
"C2SVRN110","SCOTCH PINE COMMERCIAL"
"C2SVRN115","RURAL NORTH SEVERANCE"
"C2SVRN125","COMMERCIAL WEST"
"C2SVRN130","SEVERANCE COMM LG"
"C2WELD010","RURAL WINDSOR W 1-10 ACRES"
"C2WELD115","RURAL WINDSOR W 10 ACRES OR MORE"
"C2WELD120","KODAK"
"C2WELD125","NW GREELEY LARGE IND"
"C2WELD130","NW GREELEY LARGE COMMERCIAL"
"C2WIND005","DIAMOND VALLEY"
"C2WIND005PW12","DIAMOND VALLEY 12TH FG"
"C2WIND005PW2","WINDSOR COMMONS 3RD FILING"
"C2WIND005PW3","WINDSOR COMMONS 4TH FILING"
"C2WIND005PW4","TORNADO SUB"
"C2WIND005PW7","WINDSOR COMMONS SUB 2ND"
"C2WIND005PW8","WIND TECH BUSIN CENT II 2ND FI"
"C2WIND015","WESTWOOD VILLAGE"
"C2WIND020","WINDSOR COM WEST 2"
"C2WIND020PW1","RIVER VALLEY CROSSING SUB"
"C2WIND021","WIN  HOEHNE"
"C2WIND021PW1","WIN 2HS L1 HOEHNE 2ND FG"
"C2WIND025","WINDSOR SOUTH"
"C2WIND035","BURLINGTON SUBDIVISION"
"C2WIND040","DIAMOND VALLEY SUB"
"C2WIND045","FALCON POINT INDUSTRIAL"
"C2WIND050","WINDSOR IND E SM LOTS"
"C2WIND050PW1","LOT 5 BLOCK 1 GREAT WESTERN INDUSTRIAL PARK 10TH F"
"C2WIND050PW2","GREAT WESTERN 12TH FILING"
"C2WIND050PW3","GREAT WESTERN 13TH FILING"
"C2WIND050PW7","GWIP 7TH FG"
"C2WIND050PW8","GWIP 8TH FG"
"C2WIND050PW9","GWIP 9TH FG"
"C2WIND055","EAST POINTE RETAIL"
"C2WIND060","EAST POINTE PAD"
"C2WIND065","WINDSOR WBD"
"C2WIND065ATT","WINDSOR WBD"
"C2WIND066","MAIN STREET CONDOS"
"C2WIND067","MACY PLACE CONDOS"
"C2WIND070","WINDSOR WBD PAD SITES"
"C2WIND071","MACY PLACE PAD SITES"
"C2WIND075","SHOPS AT WESTWOOD"
"C2WIND080","JACOBY FARM PAD SITES"
"C2WIND085","JACOBY FARMS"
"C2WIND090","WINDSOR WBD REAR LOTS"
"C2WIND095","VILLAGE EAST COMMERCIAL"
"C2WIND100","WINDSOR CBD COMMERCIAL"
"C2WIND110","RAINDANCE COMMERCIAL"
"C2WIND120","WESTWOOD DUP/TRI"
"C2WIND130","WATER VALLEY"
"C2WIND130PW1","WATER VALLEY SUB 13TH FILING"
"C2WIND135","PELICAN LAKE GOLF COURSE"
