" BLTASOCC","BLTASOCCDESC"
"368","College - Classrooms"
"37","Mnfctrd Home 1 Story"
"371","Lecture Hall Bldg"
"372","Academic (College) Libraries"
"377","College - Entire"
"378","Stable"
"379","Theatre - Stage"
"38","Mnfctrd Home 1 Story w/ Additions"
"380","Theatre - Motion"
"381","Veterinary Hospital"
"382","Veterinary Office"
"384","Barber/Beauty Shop"
"386","Mini Warehouse"
"387","Transit Warehouse"
"388","Underground Parking Garage"
"389","Equipment Storage"
"391","Storage - Material"
"392","Industrial Engineering & Research"
"393","Farm Labor"
"394","Transient Labor Cabin"
"395","Corn Crib"
"396","Hog Barn"
"397","Barn"
"398","Shed - Hay"
"399","Shed - Sheep"
"40","Earth Sheltered"
"400","Shed - Poultry"
"401","Shed - Equipment"
"402","Shed - Cattle"
"403","Shower Building"
"404","Shed - Utility"
"405","Skating Rink"
"406","Storage Warehouse"
"407","Distribution Warehouse"
"408","Service Station"
"409","T-Hangar"
"41","Rammed Earth"
"410","Automotive Center"
"411","Self Service Booth"
"412","Neighborhood Shopping Center"
"413","Community Shopping Center"
"414","Regional Shopping Center"
"416","Indoor Tennis Club"
"417","Handball/Raquetball Courts/Club"
"418","Health Club"
"419","Convenience Store"
"42","Baled Straw"
"420","Farm Silo Conc Stave"
"421","Shed - Tool"
"422","Grain Bin"
"423","Mini Lube Garage"
"424","Group Care Homes"
"426","Day Care Center"
"427","Fire Station - Volunteer"
"428","Horse Arena"
"429","Storage - Potato"
"43","Studio"
"430","Storage - Utility Grain"
"431","Surgical Center - Out patient"
"432","Restroom Building/Concessions"
"433","Grain Handling System"
"434","Car Wash - Self Service"
"435","Car Wash - Drive thru"
"436","Car Wash - Automatic"
"437","Quonset"
"438","Prefab Metal Building  *CODE"
"439","Drive In Theatre  *CODE"
"440","Turbine Pump"
"441","Cocktail Lounge"
"442","Bar/Tavern"
"443","Central Bank"
"444","Dental Office/ Clinic"
"446","SuperMarket"
"447","Cold Storage Warehouse"
"448","Self Service Booth"
"449","Grain Elevator Horiz Concrete"
"450","Storage - Bulk Fertilizer"
"451","Grain Elevator Concrete"
"452","Grain Elevator Conc Annex"
"453","Grain Elevator Metal Wood"
"454","Grain Elevator Metal Wood Annex"
"455","Grain Elevator Bolted Steel"
"456","Grain Elevator Corr Metal"
"457","Grain Elevator Horiz Wood"
"458","Grain Elevator Horiz Steel"
"460","Farm Silo Reinforced Conc"
"462","Farm Silo Glass Lined Steel"
"464","Grain Elevator Low"
"465","Grain Elevator Average"
"466","Grain Elevator Good"
"467","Grain Elevator Excellent"
"468","Farm Office"
"469","Farm Implement Equip Shed"
"471","Hay Loft"
"473","Equipment Building-Commercial"
"474","Modular Office"
"475","Satelite Service Center"
"476","Equipment Building"
"477","Utility Building"
"478","Farm Utility Loafing Shed"
"479","Farm Utility Storage - Loafing"
"480","Vegetable Building"
"481","Museum"
"482","Convention Center"
"483","Fitness Center"
"484","High School"
"485","Natatoriums"
"486","Fieldhouse"
"487","Vocational Schools"
"489","Jails - Police Stations"
"491","Governmental-Community Service Buildings"
"493","Flathouse Storage Buildings"
"5","1 1/2 Story Fin"
"500","R V Parks  *CODE"
"501","Miscellaneous OB"
"502","Other OB"
"503","MH Hookup"
"504","Box Car"
"505","Trailer Sales Lot"
"506","Car Sales Lot"
"508","Car Wash Canopies"
"51","Duplex One Story"
"512","Luxury Boutiques"
"514","Community Recreation Center"
"515","Casinos"
"516","Fellowship Halls"
"518","Lath Shade Shelter"
"519","Greenhouse Shade Shelters"
"521","Hoop (Arch-Rib/Quonset) Structure"
"523","Golf Cart Storage Bldgs"
"525","Mini Warehouse Hi-rise"
"526","Service Garage Sheds"
"527","Municipal Service Garages"
"529","Snack Bar"
"530","Restaurants - Cafeterias"
"531","Mini-Mart Convenience Stores"
"532","Florist Shop"
"533","Warehouse Food Store"
"534","Warehouse Showroom Store"
"540","Motel Guest Rooms"
"544","Office-Apartment"
"55","Duplex 1 1/2 Story"
"554","Shed Office Structure"
"557","Arch-Rib Quonset Utility"
"558","Arch-Rib Quonset Farm Implement"
"559","Stables High Value"
"560","Lean-tos"
"562","Commodity Storage Shed - Farm"
"563","Bag Fertilizer Storage"
"564","Dehydrator Building"
"566","Farm Sun Shelters"
